label_name,cluster_id,filename
선생님,0,KETI_SL_0000000256.AVI
트럭,0,KETI_SL_0000000389.AVI
학생,0,KETI_SL_0000000399.AVI
고압전선,1,KETI_SL_0000000130.AVI
소방관,1,KETI_SL_0000000260.AVI
현관앞,1,KETI_SL_0000000409.AVI
뒤통수,2,KETI_SL_0000000195.AVI
말려주세요,3,KETI_SL_0000000203.AVI
공장,4,KETI_SL_0000000140.AVI
뒤,5,KETI_SL_0000000194.AVI
구로구,6,KETI_SL_0000000147.AVI
논,6,KETI_SL_0000000171.AVI
도봉구,6,KETI_SL_0000000185.AVI
연락해주세요,6,KETI_SL_0000000302.AVI
윗집,6,KETI_SL_0000000331.AVI
협박,6,KETI_SL_0000000410.AVI
밑에,7,KETI_SL_0000000215.AVI
심장마비,7,KETI_SL_0000000274.AVI
아래,7,KETI_SL_0000000216.AVI
112,8,KETI_SL_0000000102.AVI
21,8,KETI_SL_0000000022.AVI
30,8,KETI_SL_0000000031.AVI
76,8,KETI_SL_0000000077.AVI
8,8,KETI_SL_0000000009.AVI
성동구,9,KETI_SL_0000000257.AVI
허벅지,10,KETI_SL_0000000407.AVI
거실,11,KETI_SL_0000000121.AVI
골절,11,KETI_SL_0000000134.AVI
문틈,11,KETI_SL_0000000213.AVI
범람,11,KETI_SL_0000000230.AVI
탈골,11,KETI_SL_0000000135.AVI
성북구,12,KETI_SL_0000000258.AVI
손가락,12,KETI_SL_0000000265.AVI
옥상,12,KETI_SL_0000000318.AVI
현관,12,KETI_SL_0000000408.AVI
두드러기생기다,13,KETI_SL_0000000193.AVI
옆집 아저씨,13,KETI_SL_0000001143.AVI
고장,14,KETI_SL_0000000132.AVI
부러지다,14,KETI_SL_0000000133.AVI
유치원,15,KETI_SL_0000000334.AVI
남편,16,KETI_SL_0000000160.AVI
아기,16,KETI_SL_0000000275.AVI
아이들,16,KETI_SL_0000000276.AVI
어린이,16,KETI_SL_0000000277.AVI
강남구,17,KETI_SL_0000000115.AVI
고속도로,17,KETI_SL_0000000129.AVI
해열제,18,KETI_SL_0000000405.AVI
22,19,KETI_SL_0000000023.AVI
36,19,KETI_SL_0000000037.AVI
41,19,KETI_SL_0000000042.AVI
63,19,KETI_SL_0000000064.AVI
68,19,KETI_SL_0000000069.AVI
86,19,KETI_SL_0000000087.AVI
신고하세요(경찰),19,KETI_SL_0000000273.AVI
기절,20,KETI_SL_0000000155.AVI
기절하다,20,KETI_SL_0000000156.AVI
떨어지다,21,KETI_SL_0000000198.AVI
쓰러지다,21,KETI_SL_0000000199.AVI
낯선사람,22,KETI_SL_0000000165.AVI
알려주세요,22,KETI_SL_0000000286.AVI
얼굴,22,KETI_SL_0000000296.AVI
열나다,22,KETI_SL_0000000304.AVI
무너지다,23,KETI_SL_0000000210.AVI
붕괴,23,KETI_SL_0000000211.AVI
도둑,24,KETI_SL_0000000182.AVI
절도,24,KETI_SL_0000000183.AVI
경찰차,25,KETI_SL_0000000126.AVI
홍수,26,KETI_SL_0000000414.AVI
우리집,27,KETI_SL_0000000325.AVI
추락,27,KETI_SL_0000000375.AVI
여학생,28,KETI_SL_0000000300.AVI
작은방,28,KETI_SL_0000000353.AVI
중구,28,KETI_SL_0000000361.AVI
화상,29,KETI_SL_0000000415.AVI
남학생,30,KETI_SL_0000000161.AVI
누수,30,KETI_SL_0000000174.AVI
복통,30,KETI_SL_0000000236.AVI
은평구,30,KETI_SL_0000000336.AVI
폭발,31,KETI_SL_0000000394.AVI
폭탄,31,KETI_SL_0000000395.AVI
폭행,32,KETI_SL_0000000397.AVI
소방차,33,KETI_SL_0000000261.AVI
팔,34,KETI_SL_0000000392.AVI
부엌,35,KETI_SL_0000000238.AVI
약사,35,KETI_SL_0000000290.AVI
절단,35,KETI_SL_0000000356.AVI
진통제,35,KETI_SL_0000000365.AVI
창백하다,35,KETI_SL_0000000372.AVI
칼,35,KETI_SL_0000000382.AVI
