label_name,cluster_id,filename
76,0,KETI_SL_0000000077.AVI
9,0,KETI_SL_0000000010.AVI
옆쪽,0,KETI_SL_0000000312.AVI
토하다,0,KETI_SL_0000000386.AVI
등,1,KETI_SL_0000000196.AVI
누전,2,KETI_SL_0000000175.AVI
우리집,2,KETI_SL_0000000325.AVI
절단,2,KETI_SL_0000000356.AVI
추락,2,KETI_SL_0000000375.AVI
일요일,3,KETI_SL_0000000346.AVI
병원,4,KETI_SL_0000000232.AVI
위에,4,KETI_SL_0000000329.AVI
집,4,KETI_SL_0000000367.AVI
토요일,4,KETI_SL_0000000385.AVI
옆집 할아버지,5,KETI_SL_0000001144.AVI
남자친구,6,KETI_SL_0000000159.AVI
수영장,6,KETI_SL_0000000268.AVI
앞집,6,KETI_SL_0000000288.AVI
해(연),6,KETI_SL_0000000403.AVI
은평구,7,KETI_SL_0000000336.AVI
중구,7,KETI_SL_0000000361.AVI
질식,7,KETI_SL_0000000366.AVI
고속도로에서 자동차가 갑자기 멈췄어요,8,KETI_SL_0000008395.MOV
근처에 있는 건물이 붕괴되고 있어요,8,KETI_SL_0000008402.MOV
도로,8,KETI_SL_0000000184.AVI
밖에 불이 났어요. 소방차를 불러주세요,8,KETI_SL_0000008471.MOV
사이,8,KETI_SL_0000000246.AVI
산에서 뱀에게 물렸어요,8,KETI_SL_0000008411.MOV
아이가 독극물을 삼켰어요,8,KETI_SL_0000008452.MOV
아이가 말벌에 쏘여서 기절했어요,8,KETI_SL_0000008483.MOV
아이가 방에 갇혔어요,8,KETI_SL_0000008458.MOV
엘리베이터가 갑자기 중간에 멈췄어요,8,KETI_SL_0000008442.MOV
해안가에 상어가 나타났어요,8,KETI_SL_0000008475.MOV
고장,9,KETI_SL_0000000132.AVI
부러지다,9,KETI_SL_0000000133.AVI
허리,10,KETI_SL_0000000406.AVI
출혈,11,KETI_SL_0000000378.AVI
피나다,11,KETI_SL_0000000379.AVI
경찰차,12,KETI_SL_0000000126.AVI
이웃집,13,KETI_SL_0000000345.AVI
산,14,KETI_SL_0000000247.AVI
유리,14,KETI_SL_0000000333.AVI
택시,14,KETI_SL_0000000384.AVI
뒤통수,15,KETI_SL_0000000195.AVI
영등포구,16,KETI_SL_0000000307.AVI
수요일,17,KETI_SL_0000000269.AVI
아빠,17,KETI_SL_0000000280.AVI
오른쪽-귀,17,KETI_SL_0000000315.AVI
발,18,KETI_SL_0000000219.AVI
동전,19,KETI_SL_0000000192.AVI
물,19,KETI_SL_0000000214.AVI
삼키다,19,KETI_SL_0000000250.AVI
어제,19,KETI_SL_0000000293.AVI
이마,19,KETI_SL_0000000341.AVI
함몰되다,20,KETI_SL_0000000402.AVI
폭행,21,KETI_SL_0000000397.AVI
무릎 인대를 다친 것 같아요,22,KETI_SL_0000008484.MOV
우리아이가 갑자기 의식을 잃었어요,22,KETI_SL_0000008468.MOV
공장,23,KETI_SL_0000000140.AVI
밑에,23,KETI_SL_0000000215.AVI
아래,23,KETI_SL_0000000216.AVI
강풍,24,KETI_SL_0000000119.AVI
급류,24,KETI_SL_0000000154.AVI
비닐하우스,24,KETI_SL_0000000242.AVI
욕실,24,KETI_SL_0000000323.AVI
금가다,25,KETI_SL_0000000151.AVI
떨어지다,25,KETI_SL_0000000198.AVI
쓰러지다,25,KETI_SL_0000000199.AVI
자살,25,KETI_SL_0000000350.AVI
장단지,26,KETI_SL_0000000355.AVI
해독제,27,KETI_SL_0000000404.AVI
무너지다,28,KETI_SL_0000000210.AVI
붕괴,28,KETI_SL_0000000211.AVI
홍수,29,KETI_SL_0000000414.AVI
엽총,30,KETI_SL_0000000306.AVI
불,31,KETI_SL_0000000239.AVI
불나다,31,KETI_SL_0000000240.AVI
발작,32,KETI_SL_0000000222.AVI
비상약,33,KETI_SL_0000000243.AVI
폭발,34,KETI_SL_0000000394.AVI
폭탄,34,KETI_SL_0000000395.AVI
해열제,35,KETI_SL_0000000405.AVI
독버섯,36,KETI_SL_0000000187.AVI
갇히다,37,KETI_SL_0000000111.AVI
감금,37,KETI_SL_0000000112.AVI
범람,38,KETI_SL_0000000230.AVI
올해,39,KETI_SL_0000000319.AVI
아저씨,40,KETI_SL_0000000281.AVI
작년,40,KETI_SL_0000000352.AVI
남편,41,KETI_SL_0000000160.AVI
아기,41,KETI_SL_0000000275.AVI
아이들,41,KETI_SL_0000000276.AVI
어린이,41,KETI_SL_0000000277.AVI
오른쪽-눈,42,KETI_SL_0000006182.AVI
깔리다,43,KETI_SL_0000000157.AVI
트럭,43,KETI_SL_0000000389.AVI
아파트,44,KETI_SL_0000000283.AVI
식사를 하다가 목에 음식이 걸렸어요,45,KETI_SL_0000008420.MOV
여기 서대문구 홍제동 한양아파트인데 옥상에서 사람이 떨어지려고해요,45,KETI_SL_0000008383.MOV
강서구,46,KETI_SL_0000000118.AVI
시청,46,KETI_SL_0000000272.AVI
어지러움,46,KETI_SL_0000000294.AVI
말려주세요,47,KETI_SL_0000000203.AVI
세브란스 병원 진료 예약을 해주세요,48,KETI_SL_0000008467.MOV
어떤 사람이 건물에서 추락했어요,48,KETI_SL_0000008413.MOV
어떤 사람이 칼로 위협하고 있어요,48,KETI_SL_0000008387.MOV
내가 방에 갇혔어요,49,KETI_SL_0000008459.MOV
발목을 접질렀어요,49,KETI_SL_0000008478.MOV
개,50,KETI_SL_0000000120.AVI
내년,51,KETI_SL_0000000167.AVI
밭,51,KETI_SL_0000000224.AVI
뼈,51,KETI_SL_0000000245.AVI
집단폭행,52,KETI_SL_0000000368.AVI
강남구,53,KETI_SL_0000000115.AVI
복통,53,KETI_SL_0000000236.AVI
유치원,54,KETI_SL_0000000334.AVI
차안,55,KETI_SL_0000000370.AVI
22,56,KETI_SL_0000000023.AVI
41,56,KETI_SL_0000000042.AVI
43,56,KETI_SL_0000000044.AVI
58,56,KETI_SL_0000000059.AVI
8,56,KETI_SL_0000000009.AVI
96,56,KETI_SL_0000000097.AVI
경찰,56,KETI_SL_0000000125.AVI
손,57,KETI_SL_0000000264.AVI
열,57,KETI_SL_0000000303.AVI
폭우,58,KETI_SL_0000000396.AVI
골절,59,KETI_SL_0000000134.AVI
구로구,59,KETI_SL_0000000147.AVI
누출,59,KETI_SL_0000000176.AVI
문틈,59,KETI_SL_0000000213.AVI
여자친구,59,KETI_SL_0000000299.AVI
연락해주세요,59,KETI_SL_0000000302.AVI
응급대원,59,KETI_SL_0000000338.AVI
의사,59,KETI_SL_0000000340.AVI
자상,59,KETI_SL_0000000351.AVI
조난,59,KETI_SL_0000000358.AVI
탈골,59,KETI_SL_0000000135.AVI
동작구,60,KETI_SL_0000000191.AVI
방망이,60,KETI_SL_0000000223.AVI
차 안에 강아지가 방치되어있어요,61,KETI_SL_0000008408.MOV
보내주세요(경찰),62,KETI_SL_0000000234.AVI
낫,63,KETI_SL_0000000163.AVI
발가락,63,KETI_SL_0000000220.AVI
옆집사람,63,KETI_SL_0000000311.AVI
침수,63,KETI_SL_0000000381.AVI
소방차,64,KETI_SL_0000000261.AVI
화상을 입었어요,65,KETI_SL_0000008404.MOV
성북구,66,KETI_SL_0000000258.AVI
대문앞,67,KETI_SL_0000000181.AVI
손가락,67,KETI_SL_0000000265.AVI
인대,68,KETI_SL_0000001536.AVI
말벌,69,KETI_SL_0000000204.AVI
어떤 사람이 무기/흉기를 소지하고 있어요,70,KETI_SL_0000036899.mp4
금요일,71,KETI_SL_0000000152.AVI
도둑,71,KETI_SL_0000000182.AVI
절도,71,KETI_SL_0000000183.AVI
가렵다,72,KETI_SL_0000000106.AVI
감전,72,KETI_SL_0000000113.AVI
119 구조대를 불러주세요,73,KETI_SL_0000008469.MOV
강아지가 뼈를 삼켰어요,73,KETI_SL_0000008393.MOV
아파서 못 참을것 같아요,73,KETI_SL_0000008456.MOV
집 벽이 무너질려고 해요,73,KETI_SL_0000008461.MOV
이번,74,KETI_SL_0000000343.AVI
소방관,75,KETI_SL_0000000260.AVI
왼쪽-귀,76,KETI_SL_0000000321.AVI
강동구,77,KETI_SL_0000000116.AVI
옆집 아저씨,78,KETI_SL_0000001143.AVI
선생님,79,KETI_SL_0000000256.AVI
임산부,79,KETI_SL_0000000347.AVI
학교,79,KETI_SL_0000000398.AVI
학생,79,KETI_SL_0000000399.AVI
경운기,80,KETI_SL_0000000124.AVI
구급차,81,KETI_SL_0000000146.AVI
옥상,82,KETI_SL_0000000318.AVI
양천구,83,KETI_SL_0000000291.AVI
트랙터,83,KETI_SL_0000000388.AVI
남학생,84,KETI_SL_0000000161.AVI
공사장,85,KETI_SL_0000000137.AVI
발목,86,KETI_SL_0000000221.AVI
살충제,87,KETI_SL_0000000248.AVI
맹견,88,KETI_SL_0000000205.AVI
숨을안쉬다,89,KETI_SL_0000000271.AVI
용산구,89,KETI_SL_0000000324.AVI
계곡,90,KETI_SL_0000000127.AVI
성동구,90,KETI_SL_0000000257.AVI
임신한아내,90,KETI_SL_0000000348.AVI
송파구,91,KETI_SL_0000000267.AVI
농약,92,KETI_SL_0000000172.AVI
고압전선,93,KETI_SL_0000000130.AVI
보건소,94,KETI_SL_0000000233.AVI
두드러기생기다,95,KETI_SL_0000000193.AVI
계단,96,KETI_SL_0000000128.AVI
목요일,96,KETI_SL_0000000209.AVI
심장마비,96,KETI_SL_0000000274.AVI
공원,97,KETI_SL_0000000138.AVI
낯선사람,97,KETI_SL_0000000165.AVI
놀이터,97,KETI_SL_0000000139.AVI
알려주세요,97,KETI_SL_0000000286.AVI
열나다,97,KETI_SL_0000000304.AVI
왼쪽,97,KETI_SL_0000000320.AVI
술취한 사람,98,KETI_SL_0000000270.AVI
가스,99,KETI_SL_0000000107.AVI
아줌마,99,KETI_SL_0000000282.AVI
서랍,100,KETI_SL_0000000252.AVI
진통제,101,KETI_SL_0000000365.AVI
성폭행,102,KETI_SL_0000000259.AVI
응급처리,103,KETI_SL_0000000339.AVI
뒤,104,KETI_SL_0000000194.AVI
눈,105,KETI_SL_0000000177.AVI
오늘,106,KETI_SL_0000000313.AVI
출산,107,KETI_SL_0000000377.AVI
연기,108,KETI_SL_0000000301.AVI
무릎,109,KETI_SL_0000000212.AVI
화상,110,KETI_SL_0000000415.AVI
소화기,111,KETI_SL_0000000262.AVI
현관,112,KETI_SL_0000000408.AVI
뱀,113,KETI_SL_0000000228.AVI
친구,113,KETI_SL_0000000380.AVI
아기가 장난감을 삼켰어요,114,KETI_SL_0000008394.MOV
강북구,115,KETI_SL_0000000117.AVI
제초제,115,KETI_SL_0000000357.AVI
여학생,116,KETI_SL_0000000300.AVI
어떤 사람이 집단폭력을 당하고 있어요,117,KETI_SL_0000008400.MOV
팔,118,KETI_SL_0000000392.AVI
납치,119,KETI_SL_0000000162.AVI
자동차,119,KETI_SL_0000000349.AVI
허벅지,120,KETI_SL_0000000407.AVI
112에 신고해주세요,121,KETI_SL_0000008473.MOV
아기가 갑자기 토해요,121,KETI_SL_0000008448.MOV
어디선가 연기가 나요 불이 나고 있는 것 같아요,121,KETI_SL_0000008416.MOV
고속도로,122,KETI_SL_0000000129.AVI
독사,123,KETI_SL_0000000188.AVI
유치원 버스,124,KETI_SL_0000001169.AVI
엘리베이터,125,KETI_SL_0000000298.AVI
열어주세요,126,KETI_SL_0000000305.AVI
장난감,126,KETI_SL_0000000354.AVI
축사,127,KETI_SL_0000000376.AVI
멧돼지,128,KETI_SL_0000000207.AVI
보내주세요(구급차),128,KETI_SL_0000000235.AVI
붕대,128,KETI_SL_0000000241.AVI
선반,129,KETI_SL_0000000255.AVI
칼,129,KETI_SL_0000000382.AVI
산에서 야생동물을 만났어요 저를 공격할 것 같아요,130,KETI_SL_0000008437.MOV
1,131,KETI_SL_0000000002.AVI
10,131,KETI_SL_0000000011.AVI
18,131,KETI_SL_0000000019.AVI
24,131,KETI_SL_0000000025.AVI
3,131,KETI_SL_0000000004.AVI
33,131,KETI_SL_0000000034.AVI
36,131,KETI_SL_0000000037.AVI
37,131,KETI_SL_0000000038.AVI
49,131,KETI_SL_0000000050.AVI
71,131,KETI_SL_0000000072.AVI
74,131,KETI_SL_0000000075.AVI
78,131,KETI_SL_0000000079.AVI
86,131,KETI_SL_0000000087.AVI
90,131,KETI_SL_0000000091.AVI
94,131,KETI_SL_0000000095.AVI
98,131,KETI_SL_0000000099.AVI
11,132,KETI_SL_0000000012.AVI
47,132,KETI_SL_0000000048.AVI
달(월),132,KETI_SL_0000000180.AVI
91,133,KETI_SL_0000000092.AVI
77,134,KETI_SL_0000000078.AVI
112,135,KETI_SL_0000000102.AVI
25,135,KETI_SL_0000000026.AVI
27,135,KETI_SL_0000000028.AVI
39,135,KETI_SL_0000000040.AVI
57,135,KETI_SL_0000000058.AVI
73,135,KETI_SL_0000000074.AVI
88,135,KETI_SL_0000000089.AVI
곰,135,KETI_SL_0000000136.AVI
언니,135,KETI_SL_0000000295.AVI
93,136,KETI_SL_0000002509.AVI
왼쪽-눈,137,KETI_SL_0000000322.AVI
오빠,138,KETI_SL_0000000317.AVI
52,139,KETI_SL_0000000053.AVI
옆집,140,KETI_SL_0000000308.AVI
구청,141,KETI_SL_0000000148.AVI
노원구,141,KETI_SL_0000000170.AVI
뜨거운물,141,KETI_SL_0000000200.AVI
바다,141,KETI_SL_0000000217.AVI
부엌,141,KETI_SL_0000000238.AVI
약사,141,KETI_SL_0000000290.AVI
팔꿈치,141,KETI_SL_0000000393.AVI
끓는물,142,KETI_SL_0000000158.AVI
약국,142,KETI_SL_0000000289.AVI
얼굴,142,KETI_SL_0000000296.AVI
화약,142,KETI_SL_0000000416.AVI
살해,143,KETI_SL_0000000249.AVI
안방,144,KETI_SL_0000000285.AVI
윗집,144,KETI_SL_0000000331.AVI
작은방,144,KETI_SL_0000000353.AVI
창백하다,144,KETI_SL_0000000372.AVI
밖에 불이 났어요 소방차를 불러주세요,145,KETI_SL_0000036963.mp4
음식을 하다가 손가락을 칼에 베였어요,146,KETI_SL_0000008480.MOV
아기가 장난감을 사켰어요,147,KETI_SL_0000036893.mp4
강,148,KETI_SL_0000000114.AVI
구해주세요,148,KETI_SL_0000000149.AVI
낯선남자,148,KETI_SL_0000000164.AVI
마당,148,KETI_SL_0000000201.AVI
마포구,148,KETI_SL_0000000202.AVI
오른쪽,148,KETI_SL_0000000314.AVI
위협,148,KETI_SL_0000000330.AVI
할머니,148,KETI_SL_0000000400.AVI
관악구,149,KETI_SL_0000000141.AVI
10000,150,KETI_SL_0000000105.AVI
냄새나다,150,KETI_SL_0000000169.AVI
동생,150,KETI_SL_0000000190.AVI
배,150,KETI_SL_0000000225.AVI
아들,150,KETI_SL_0000000279.AVI
주,150,KETI_SL_0000000360.AVI
지난,150,KETI_SL_0000000363.AVI
엄마,151,KETI_SL_0000000297.AVI
귀,152,KETI_SL_0000000150.AVI
어깨,152,KETI_SL_0000000292.AVI
19,153,KETI_SL_0000000020.AVI
62,153,KETI_SL_0000000063.AVI
70,153,KETI_SL_0000000071.AVI
80,153,KETI_SL_0000000081.AVI
81,153,KETI_SL_0000000082.AVI
85,153,KETI_SL_0000000086.AVI
87,153,KETI_SL_0000000088.AVI
92,153,KETI_SL_0000000093.AVI
걸렸다,153,KETI_SL_0000000122.AVI
딸,153,KETI_SL_0000000197.AVI
목,153,KETI_SL_0000000208.AVI
119,154,KETI_SL_0000000103.AVI
13,154,KETI_SL_0000000014.AVI
26,154,KETI_SL_0000000027.AVI
55,154,KETI_SL_0000000056.AVI
56,154,KETI_SL_0000000057.AVI
79,154,KETI_SL_0000000080.AVI
89,154,KETI_SL_0000000090.AVI
내일,154,KETI_SL_0000000168.AVI
형,154,KETI_SL_0000000411.AVI
20,155,KETI_SL_0000000021.AVI
54,155,KETI_SL_0000000055.AVI
6,155,KETI_SL_0000000007.AVI
지혈대,156,KETI_SL_0000000364.AVI
체온계,157,KETI_SL_0000000373.AVI
총,158,KETI_SL_0000000374.AVI
코,158,KETI_SL_0000000383.AVI
할아버지,158,KETI_SL_0000000401.AVI
97,159,KETI_SL_0000000098.AVI
99,159,KETI_SL_0000000100.AVI
현관앞,160,KETI_SL_0000000409.AVI
윗집사람,161,KETI_SL_0000000332.AVI
논,162,KETI_SL_0000000171.AVI
도봉구,162,KETI_SL_0000000185.AVI
서울시,162,KETI_SL_0000000253.AVI
음식물,162,KETI_SL_0000000337.AVI
협박,162,KETI_SL_0000000410.AVI
호흡곤란,162,KETI_SL_0000000412.AVI
가슴,163,KETI_SL_0000000108.AVI
결박,163,KETI_SL_0000000123.AVI
교통사고,163,KETI_SL_0000000143.AVI
다리,163,KETI_SL_0000000178.AVI
머리,163,KETI_SL_0000000206.AVI
손목,163,KETI_SL_0000000266.AVI
아내,164,KETI_SL_0000000278.AVI
기절,165,KETI_SL_0000000155.AVI
기절하다,165,KETI_SL_0000000156.AVI
벼락,165,KETI_SL_0000000231.AVI
구급대원,166,KETI_SL_0000000145.AVI
금천구,166,KETI_SL_0000000153.AVI
빌라,166,KETI_SL_0000000244.AVI
운동장,166,KETI_SL_0000000326.AVI
아이를 모르는 사람이 데려갔어요,167,KETI_SL_0000008451.MOV
윗집에 불이 났어요,167,KETI_SL_0000008439.MOV
유리가 깨져서 발을 다쳤어요,167,KETI_SL_0000008462.MOV
서대문구,168,KETI_SL_0000000251.AVI
이물질,168,KETI_SL_0000000342.AVI
이상한사람,168,KETI_SL_0000000344.AVI
종로구,168,KETI_SL_0000000359.AVI
차밖,168,KETI_SL_0000000369.AVI
창문,168,KETI_SL_0000000371.AVI
통학버스,168,KETI_SL_0000000387.AVI
16,169,KETI_SL_0000000017.AVI
35,169,KETI_SL_0000000036.AVI
