label_name,cluster_id,filename
가스가 새고 있는 것 같아요,0,KETI_SL_0000008430.MOV
어떤 사람이 교통사고를 당했어요,0,KETI_SL_0000008409.MOV
어떤 사람이 길거리에서 피를 많이 흘리고 있어요,0,KETI_SL_0000008419.MOV
어떤 사람이 자살을 시도하고 있어요,0,KETI_SL_0000008453.MOV
집에 모르는 사람이 침입했어요,0,KETI_SL_0000008445.MOV
쫓아오는 것 같아요,0,KETI_SL_0000008399.MOV
뒤통수,1,KETI_SL_0000000195.AVI
60,2,KETI_SL_0000000061.AVI
63,2,KETI_SL_0000000064.AVI
위,2,KETI_SL_0000000328.AVI
호흡기,2,KETI_SL_0000000413.AVI
공장,3,KETI_SL_0000000140.AVI
밑에,3,KETI_SL_0000000215.AVI
심장마비,3,KETI_SL_0000000274.AVI
아래,3,KETI_SL_0000000216.AVI
뒤,4,KETI_SL_0000000194.AVI
77,5,KETI_SL_0000000078.AVI
볼,5,KETI_SL_0000000237.AVI
도봉구,6,KETI_SL_0000000185.AVI
바다,6,KETI_SL_0000000217.AVI
호흡곤란,6,KETI_SL_0000000412.AVI
강남구,7,KETI_SL_0000000115.AVI
강서구,7,KETI_SL_0000000118.AVI
고속도로,7,KETI_SL_0000000129.AVI
시청,7,KETI_SL_0000000272.AVI
성폭행,8,KETI_SL_0000000259.AVI
목요일,9,KETI_SL_0000000209.AVI
10000,10,KETI_SL_0000000105.AVI
냄새나다,10,KETI_SL_0000000169.AVI
동생,10,KETI_SL_0000000190.AVI
배,10,KETI_SL_0000000225.AVI
아들,10,KETI_SL_0000000279.AVI
주,10,KETI_SL_0000000360.AVI
지난,10,KETI_SL_0000000363.AVI
강북구,11,KETI_SL_0000000117.AVI
논,11,KETI_SL_0000000171.AVI
서울시,11,KETI_SL_0000000253.AVI
알려주세요,11,KETI_SL_0000000286.AVI
일요일,11,KETI_SL_0000000346.AVI
장난감,11,KETI_SL_0000000354.AVI
창백하다,11,KETI_SL_0000000372.AVI
계곡,12,KETI_SL_0000000127.AVI
임신한아내,12,KETI_SL_0000000348.AVI
살충제,13,KETI_SL_0000000248.AVI
폭발,14,KETI_SL_0000000394.AVI
폭탄,14,KETI_SL_0000000395.AVI
위에,15,KETI_SL_0000000329.AVI
남편,16,KETI_SL_0000000160.AVI
