2025-07-03 19:42:48 - VideoClusterCategorizer - INFO - VideoClusterCategorizer initialized with: ../categorizer/two-clusters/video_clusters.csv
2025-07-03 19:42:48 - VideoClusterCategorizer - INFO - Header line: ﻿label_name,cluster_id,filename
2025-07-03 19:42:48 - VideoClusterCategorizer - INFO - CSV headers: ['\ufefflabel_name', 'cluster_id', 'filename']
2025-07-03 19:42:48 - VideoClusterCategorizer - WARNING - Missing data in row 1: {'\ufefflabel_name': '가스가 새고 있는 것 같아요', 'cluster_id': '0', 'filename': 'KETI_SL_0000008430.MOV'}
2025-07-03 19:42:48 - VideoClusterCategorizer - WARNING - Missing data in row 2: {'\ufefflabel_name': '어떤 사람이 교통사고를 당했어요', 'cluster_id': '0', 'filename': 'KETI_SL_0000008409.MOV'}
2025-07-03 19:42:48 - VideoClusterCategorizer - WARNING - Missing data in row 3: {'\ufefflabel_name': '어떤 사람이 길거리에서 피를 많이 흘리고 있어요', 'cluster_id': '0', 'filename': 'KETI_SL_0000008419.MOV'}
2025-07-03 19:42:48 - VideoClusterCategorizer - WARNING - Missing data in row 4: {'\ufefflabel_name': '어떤 사람이 자살을 시도하고 있어요', 'cluster_id': '0', 'filename': 'KETI_SL_0000008453.MOV'}
2025-07-03 19:42:48 - VideoClusterCategorizer - WARNING - Missing data in row 5: {'\ufefflabel_name': '집에 모르는 사람이 침입했어요', 'cluster_id': '0', 'filename': 'KETI_SL_0000008445.MOV'}
2025-07-03 19:42:48 - VideoClusterCategorizer - WARNING - Missing data in row 6: {'\ufefflabel_name': '쫓아오는 것 같아요', 'cluster_id': '0', 'filename': 'KETI_SL_0000008399.MOV'}
2025-07-03 19:42:48 - VideoClusterCategorizer - WARNING - Missing data in row 7: {'\ufefflabel_name': '뒤통수', 'cluster_id': '1', 'filename': 'KETI_SL_0000000195.AVI'}
2025-07-03 19:42:48 - VideoClusterCategorizer - WARNING - Missing data in row 8: {'\ufefflabel_name': '60', 'cluster_id': '2', 'filename': 'KETI_SL_0000000061.AVI'}
2025-07-03 19:42:48 - VideoClusterCategorizer - WARNING - Missing data in row 9: {'\ufefflabel_name': '63', 'cluster_id': '2', 'filename': 'KETI_SL_0000000064.AVI'}
2025-07-03 19:42:48 - VideoClusterCategorizer - WARNING - Missing data in row 10: {'\ufefflabel_name': '위', 'cluster_id': '2', 'filename': 'KETI_SL_0000000328.AVI'}
2025-07-03 19:42:48 - VideoClusterCategorizer - WARNING - Missing data in row 11: {'\ufefflabel_name': '호흡기', 'cluster_id': '2', 'filename': 'KETI_SL_0000000413.AVI'}
