label_name,cluster_id,filename
보건소,0,KETI_SL_0000000233.AVI
구급차,1,KETI_SL_0000000146.AVI
남학생,1,KETI_SL_0000000161.AVI
멧돼지,1,KETI_SL_0000000207.AVI
붕대,1,KETI_SL_0000000241.AVI
손가락,1,KETI_SL_0000000265.AVI
연기,1,KETI_SL_0000000301.AVI
오른쪽,1,KETI_SL_0000000314.AVI
옥상,1,KETI_SL_0000000318.AVI
트랙터,1,KETI_SL_0000000388.AVI
강풍,2,KETI_SL_0000000119.AVI
구해주세요,2,KETI_SL_0000000149.AVI
누전,2,KETI_SL_0000000175.AVI
뜨거운물,2,KETI_SL_0000000200.AVI
비닐하우스,2,KETI_SL_0000000242.AVI
서울시,2,KETI_SL_0000000253.AVI
안방,2,KETI_SL_0000000285.AVI
알려주세요,2,KETI_SL_0000000286.AVI
여학생,2,KETI_SL_0000000300.AVI
은평구,2,KETI_SL_0000000336.AVI
일요일,2,KETI_SL_0000000346.AVI
임신한아내,2,KETI_SL_0000000348.AVI
작년,2,KETI_SL_0000000352.AVI
작은방,2,KETI_SL_0000000353.AVI
중구,2,KETI_SL_0000000361.AVI
질식,2,KETI_SL_0000000366.AVI
창백하다,2,KETI_SL_0000000372.AVI
출산,2,KETI_SL_0000000377.AVI
출혈,2,KETI_SL_0000000378.AVI
침수,2,KETI_SL_0000000381.AVI
통학버스,2,KETI_SL_0000000387.AVI
폭우,2,KETI_SL_0000000396.AVI
피나다,2,KETI_SL_0000000379.AVI
화재,2,KETI_SL_0000000419.AVI
119 구조대를 불러주세요,3,KETI_SL_0000008469.MOV
감전 사고가 났어요,3,KETI_SL_0000008444.MOV
강도가 들어온것 같아요,3,KETI_SL_0000008446.MOV
강아지가 뼈를 삼켰어요,3,KETI_SL_0000008393.MOV
광견병에 걸린 개에게 물렸어요,3,KETI_SL_0000008412.MOV
근처에서 폭탄이 터졌어요,3,KETI_SL_0000008390.MOV
남편이 높은데서 떨어져서 머리에서 피나요,3,KETI_SL_0000008463.MOV
너무 아파요,3,KETI_SL_0000008385.MOV
동생이 문틈에 손이 끼었어요,3,KETI_SL_0000008384.MOV
말벌에게 쏘였어요,3,KETI_SL_0000008423.MOV
문에 몸이 끼었어요,3,KETI_SL_0000008429.MOV
빨리 와주세요,3,KETI_SL_0000008386.MOV
아기가 갑자기 토해요,3,KETI_SL_0000008448.MOV
아내가 쓰러졌어요,3,KETI_SL_0000008476.MOV
아들이 놀이터에서 놀다가 팔이 부러졌어요,3,KETI_SL_0000008477.MOV
아랫집에 불이 났어요,3,KETI_SL_0000008441.MOV
아이가 장난감을 삼켰어요,3,KETI_SL_0000008454.MOV
어떤 사람한테 납치당했어요,3,KETI_SL_0000008410.MOV
어지러워서 서있을 수 없어요,3,KETI_SL_0000008470.MOV
엄마가 신장병에 있는데 쓰러지셨어요,3,KETI_SL_0000008485.MOV
여기 서대문구 홍제동 한양아파트인데 옥상에서 사람이 떨어지려고해요,3,KETI_SL_0000008383.MOV
유리가 깨져서 발을 다쳤어요,3,KETI_SL_0000008462.MOV
음식을 하다가 손가락을 칼에 베였어요,3,KETI_SL_0000008480.MOV
이상한 사람이 저를 쫓아와요,3,KETI_SL_0000008397.MOV
주변 구조물이 무너져서 몸이 끼었어요 몸을 움직이지 못하겠어요,3,KETI_SL_0000008389.MOV
차 안에 강아지가 방치되어있어요,3,KETI_SL_0000008408.MOV
폭탄이 터졌어요,3,KETI_SL_0000008422.MOV
할머니가 갑자기 쓰러지셨어요,3,KETI_SL_0000008391.MOV
해안가에 해파리가 나타났어요,3,KETI_SL_0000008382.MOV
홍수가 나서 집이 물에 잠기고 있어요,3,KETI_SL_0000008431.MOV
두드러기생기다,4,KETI_SL_0000000193.AVI
비상약,4,KETI_SL_0000000243.AVI
송파구,4,KETI_SL_0000000267.AVI
양천구,4,KETI_SL_0000000291.AVI
옆집 아저씨,4,KETI_SL_0000001143.AVI
파도,4,KETI_SL_0000000390.AVI
팔,4,KETI_SL_0000000392.AVI
폭행,4,KETI_SL_0000000397.AVI
계곡,5,KETI_SL_0000000127.AVI
고열,5,KETI_SL_0000000131.AVI
구로구,5,KETI_SL_0000000147.AVI
기절하다,5,KETI_SL_0000000156.AVI
